iteration,start_time,end_time,duration_sec,freq_mhz_start,freq_mhz_end,exit_code
1,2026-02-20 17:44:46,2026-02-20 17:46:50,123.4,2300,2300,0
2,2026-02-20 17:47:36,2026-02-20 17:49:36,120.3,2300,2300,0
3,2026-02-20 17:50:22,2026-02-20 17:52:52,150.3,2300,2300,0
4,2026-02-20 17:53:39,2026-02-20 18:05:13,694.3,2300,2300,0
5,2026-02-20 18:05:59,2026-02-20 18:08:07,128.8,2300,2300,0
6,2026-02-20 18:08:53,2026-02-20 18:10:57,123.8,2300,2300,0
7,2026-02-20 18:11:44,2026-02-20 18:13:52,128.3,2300,2300,0
8,2026-02-20 18:14:40,2026-02-20 18:17:15,154.4,2300,2300,0
9,2026-02-20 18:18:00,2026-02-20 18:20:11,131,2300,2300,0
10,2026-02-20 18:20:58,2026-02-20 18:22:54,116.7,2300,2300,0
